央视,#genre#
环球纪录,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000528/index.m3u8?IAS
卫视
北京卫视,http://[2409:8087:2001:20:2800:0:df6e:eb0b]/wh7f454c46tw2687876293_-1703018199/ott.mobaibox.com/PLTV/3/224/3221227508/index.m3u8?icpid=3&RTS=1668597482&from=40&popid=40&hms_devid=2038&prioritypopid=40&vqe=3
东方卫视,http://[2409:8087:2001:20:2800:0:df6e:eb16]/wh7f454c46tw2542426131_1585848046/ott.mobaibox.com/PLTV/3/224/3221227511/index.m3u8?icpid=3&RTS=1668597336&from=40&popid=40&hms_devid=2114&prioritypopid=40&vqe=3
湖南卫视,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001026/index.m3u8?
浙江卫视,http://[2409:8087:2001:20:2800:0:df6e:eb11]/wh7f454c46tw1197826796_-265147758/ott.mobaibox.com/PLTV/3/224/3221227491/index.m3u8?icpid=3&RTS=1669699798&from=40&popid=40&hms_devid=2110&prioritypopid=40&vqe=3
江苏卫视,http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f454c46tw2983110475_-1591539074/ott.mobaibox.com/PLTV/3/224/3221228097/index.m3u8?icpid=3&RTS=1668597777&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
江西卫视,http://[2409:8087:2001:20:2800:0:df6e:eb17]/wh7f454c46tw1965546073_-1364170119/ott.mobaibox.com/PLTV/3/224/3221228109/index.m3u8?icpid=3&RTS=1669700566&from=40&popid=40&hms_devid=2114&prioritypopid=40&vqe=3
河北卫视,http://[2409:8087:2001:20:2800:0:df6e:eb05]/wh7f454c46tw1698524218_988816054/ott.mobaibox.com/PLTV/3/224/3221228106/index.m3u8?icpid=3&RTS=1669700299&from=40&popid=40&hms_devid=2041&prioritypopid=40&vqe=3
河南卫视,http://[2409:8087:2001:20:2800:0:df6e:eb17]/wh7f454c46tw1784575403_-1712002709/ott.mobaibox.com/PLTV/3/224/3221228221/index.m3u8?icpid=3&RTS=1669700385&from=40&popid=40&hms_devid=2114&prioritypopid=40&vqe=3
海南卫视,http://[2409:8087:2001:20:2800:0:df6e:eb08]/wh7f454c46tw2843123663_1489055229/ott.mobaibox.com/PLTV/3/224/3221228139/index.m3u8?icpid=3&RTS=1669701444&from=40&popid=40&hms_devid=2037&prioritypopid=40&vqe=3
深圳卫视,http://[2409:8087:2001:20:2800:0:df6e:eb11]/wh7f454c46tw3025923625_628894334/ott.mobaibox.com/PLTV/3/224/3221227555/index.m3u8?icpid=3&RTS=1668597820&from=40&popid=40&hms_devid=2110&prioritypopid=40&vqe=3
湖北卫视,http://[2409:8087:2001:20:2800:0:df6e:eb11]/wh7f454c46tw3059146177_-1525708880/ott.mobaibox.com/PLTV/3/224/3221227479/index.m3u8?icpid=3&RTS=1668597853&from=40&popid=40&hms_devid=2110&prioritypopid=40&vqe=3
四川卫视,http://[2409:8087:2001:20:2800:0:df6e:eb09]/wh7f454c46tw2502717081_11504314/ott.mobaibox.com/PLTV/3/224/3221227556/index.m3u8?icpid=3&RTS=1669701103&from=40&popid=40&hms_devid=2037&prioritypopid=40&vqe=3
天津卫视,http://[2409:8087:2001:20:2800:0:df6e:eb11]/wh7f454c46tw2730715388_788631706/ott.mobaibox.com/PLTV/3/224/3221227488/index.m3u8?icpid=3&RTS=1668597525&from=40&popid=40&hms_devid=2110&prioritypopid=40&vqe=3
安徽卫视,http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f454c46tw2802330256_375747539/ott.mobaibox.com/PLTV/3/224/3221227558/index.m3u8?icpid=3&RTS=1668597596&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
山东卫视,http://[2409:8087:2001:20:2800:0:df6e:eb10]/wh7f454c46tw2848465480_1677095697/ott.mobaibox.com/PLTV/3/224/3221227517/index.m3u8?icpid=3&RTS=1668597642&from=40&popid=40&hms_devid=2110&prioritypopid=40&vqe=3
广东卫视,http://[2409:8087:2001:20:2800:0:df6e:eb03]/wh7f454c46tw2917484419_-1632335828/ott.mobaibox.com/PLTV/3/224/3221227476/index.m3u8?icpid=3&RTS=1668597711&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
广西卫视,http://[2409:8087:2001:20:2800:0:df6e:eb05]/wh7f454c46tw2325655923_1638953995/ott.mobaibox.com/PLTV/3/224/3221228183/index.m3u8?icpid=3&RTS=1669700926&from=40&popid=40&hms_devid=2041&prioritypopid=40&vqe=3
贵州卫视,http://[2409:8087:2001:20:2800:0:df6e:eb08]/wh7f454c46tw2087544744_109645303/ott.mobaibox.com/PLTV/3/224/3221228136/index.m3u8?icpid=3&RTS=1669700688&from=40&popid=40&hms_devid=2037&prioritypopid=40&vqe=3
辽宁卫视,http://[2409:8087:2001:20:2800:0:df6e:eb16]/wh7f454c46tw3102310989_-1844874138/ott.mobaibox.com/PLTV/3/224/3221227485/index.m3u8?icpid=3&RTS=1668597896&from=40&popid=40&hms_devid=2114&prioritypopid=40&vqe=3
重庆卫视,http://[2409:8087:2001:20:2800:0:df6e:eb09]/wh7f454c46tw2787424866_142914197/ott.mobaibox.com/PLTV/3/224/3221228133/index.m3u8?icpid=3&RTS=1669701388&from=40&popid=40&hms_devid=2037&prioritypopid=40&vqe=3
龙江卫视,http://[2409:8087:2001:20:2800:0:df6e:eb17]/wh7f454c46tw3143044227_-926148572/ott.mobaibox.com/PLTV/3/224/3221227514/index.m3u8?icpid=3&RTS=1668597937&from=40&popid=40&hms_devid=2114&prioritypopid=40&vqe=3
甘肃卫视,http://[2409:8087:2001:20:2800:0:df6e:eb1a]/wh7f454c46tw1400573680_-1979013462/ott.mobaibox.com/PLTV/3/224/3221227568/index.m3u8?icpid=3&RTS=1668600490&from=40&popid=40&hms_devid=2116&prioritypopid=40&vqe=3
吉林卫视,http://[2409:8087:2001:20:2800:0:df6e:eb03]/wh7f454c46tw1874077489_789689702/ott.mobaibox.com/PLTV/3/224/3221228130/index.m3u8?icpid=3&RTS=1669700475&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
三沙卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000319/index.m3u8?IAS
东南卫视,http://[2409:8087:2001:20:2800:0:df6e:eb0a]/wh7f454c46tw2900649569_-743777193/ott.mobaibox.com/PLTV/3/224/3221227670/index.m3u8?icpid=3&RTS=1669701501&from=40&popid=40&hms_devid=2038&prioritypopid=40&vqe=3
青海卫视,http://[2409:8087:2001:20:2800:0:df6e:eb1b]/wh7f454c46tw1221605145_-1738716276/ott.mobaibox.com/PLTV/3/224/3221227554/index.m3u8?icpid=3&RTS=1668600311&from=40&popid=40&hms_devid=2116&prioritypopid=40&vqe=3
新疆卫视,http://[2409:8087:2001:20:2800:0:df6e:eb0b]/wh7f454c46tw993550557_162751766/ott.mobaibox.com/PLTV/3/224/3221228290/index.m3u8?icpid=3&RTS=1668604377&from=40&popid=40&hms_devid=2038&prioritypopid=40&vqe=3
云南卫视,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001223/index.m3u8?
中国教育,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001020/index.m3u8?
地方,#genre#
职教频道,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001348/index.m3u8?
纪实科教,http://[2409:8087:2001:20:2800:0:df6e:eb0e]/wh7f454c46tw1542052607_1430934483/ott.mobaibox.com/PLTV/3/224/3221227699/index.m3u8?icpid=3&RTS=1669704438&from=40&popid=40&hms_devid=2111&prioritypopid=40&vqe=3
卡酷少儿,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001245/index.m3u8?
东方影视,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001016/index.m3u8?
五星体育,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001018/index.m3u8?
上海外语,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001128/index.m3u8?
上海都市,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001015/index.m3u8?
上海教育,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001268/index.m3u8?
上海新闻,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001014/index.m3u8?
都市剧场,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001203/index.m3u8?
生活时尚,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001199/index.m3u8?
金色学堂,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001194/index.m3u8?
法治天地,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001195/index.m3u8?
哈哈炫动,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001232/index.m3u8?
动漫秀场,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001196/index.m3u8?
七彩戏剧,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001308/index.m3u8?
欢笑剧场,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002156/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
第一财经,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001017/index.m3u8?
东方财经,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001318/index.m3u8?
茶友频道,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002305/index.m3u8/?virtualDomain=yinhe.live_hls.zte.com
快乐垂钓,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002264/index.m3u8/?virtualDomain=yinhe.live_hls.zte.com
金鹰纪实,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001230/index.m3u8?
数字,#genre#
CCTV-4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
乐游频道,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001200/index.m3u8?
纪实人文,http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f454c46tw1293235676_155310184/ott.mobaibox.com/PLTV/3/224/3221227635/index.m3u8?icpid=3&RTS=1669704189&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
求索动物,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000010046/index.m3u8?channel-id=wasusyt&Contentid=6000000002000010046&livemode=1&stbId=3
求索生活,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000003382/index.m3u8?channel-id=wasusyt&Contentid=6000000002000003382&livemode=1&stbId=3
求索科学,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000032344/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032344&livemode=1&stbId=3
求索纪录,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000032052/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032052&livemode=1&stbId=3
风云剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
风云音乐,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
第一剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
女性时尚,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226969/index.m3u8
风云足球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
兵器科技,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
怀旧剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
世界地理,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226947/index.m3u8
文化精品,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226981/index.m3u8
央视台球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
央视高网,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226978/index.m3u8
电视指南,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226987/index.m3u8
动作电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
家庭影院,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
高清电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
华数高清,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000003000004748/index.m3u8?channel-id=wasusyt&Contentid=6000000003000004748&livemode=1&stbId=3

IPTV,#genre#
CCTV-1高清,http://192.168.1.1:7088/udp/239.10.0.48:1025
广东卫视,http://192.168.1.1:7088/udp/239.10.0.45:1025
精选频道1,http://192.168.1.1:7088/udp/239.11.0.15:1025
广东珠江,http://192.168.1.1:7088/udp/239.10.0.63:1025
广东新闻,http://192.168.1.1:7088/udp/239.10.0.199:1025
精选4k频道1,http://192.168.1.1:7088/udp/239.11.0.93:1025
广东民生,http://192.168.1.1:7088/udp/239.11.0.80:1025
精选4k频道2,http://192.168.1.1:7088/udp/239.10.0.42:1025
广东体育,http://192.168.1.1:7088/udp/239.10.0.47:1025
经济科教,http://192.168.1.1:7088/udp/239.10.0.46:1025
大湾区卫视,http://192.168.1.1:7088/udp/239.11.0.78:1025
广东影视,http://192.168.1.1:7088/udp/239.11.0.79:1025
广东少儿,http://192.168.1.1:7088/udp/239.11.0.81:1025
嘉佳卡通,http://192.168.1.1:7088/udp/239.10.0.200:1025
南方购物-精选,http://192.168.1.1:7088/udp/239.11.0.95:1025
移动频道,http://192.168.1.1:7088/udp/239.10.0.143:1025
南方购物,http://192.168.1.1:7088/udp/239.10.0.126:1025
岭南戏曲,http://192.168.1.1:7088/udp/239.11.0.180:1025
现代教育,http://192.168.1.1:7088/udp/239.11.0.181:1025
CCTV-1综合,http://192.168.1.1:7088/udp/239.10.0.48:1025
CCTV-2财经,http://192.168.1.1:7088/udp/239.10.0.207:1025
CCTV-3综艺,http://192.168.1.1:7088/udp/239.10.0.101:1025
CCTV-4中文国际,http://192.168.1.1:7088/udp/239.10.0.245:1025
CCTV-5体育,http://192.168.1.1:7088/udp/239.10.0.102:1025
CCTV-6电影,http://192.168.1.1:7088/udp/239.10.0.103:1025
CCTV-7国防军事,http://192.168.1.1:7088/udp/239.10.0.208:1025
CCTV-8电视剧,http://192.168.1.1:7088/udp/239.10.0.104:1025
CCTV-9纪录,http://192.168.1.1:7088/udp/239.10.0.209:1025
CCTV-10科教,http://192.168.1.1:7088/udp/239.10.0.210:1025
CCTV-11戏曲,http://192.168.1.1:7088/udp/239.11.0.24:1025
CCTV-12社会与法,http://192.168.1.1:7088/udp/239.10.0.211:1025
CCTV-13新闻,http://192.168.1.1:7088/udp/239.10.0.198:1025
CCTV-14少儿,http://192.168.1.1:7088/udp/239.10.0.212:1025
CCTV-15音乐,http://192.168.1.1:7088/udp/239.11.0.25:1025
CGTN,http://192.168.1.1:7088/udp/239.10.0.196:1025
CCTV-17,http://192.168.1.1:7088/udp/239.10.0.244:1025
湖南卫视,http://192.168.1.1:7088/udp/239.10.0.49:1025
浙江卫视,http://192.168.1.1:7088/udp/239.10.0.50:1025
江苏卫视,http://192.168.1.1:7088/udp/239.10.0.51:1025
东方卫视,http://192.168.1.1:7088/udp/239.10.0.183:1025
安徽卫视,http://192.168.1.1:7088/udp/239.10.0.203:1025
北京卫视,http://192.168.1.1:7088/udp/239.10.0.131:1025
江西卫视,http://192.168.1.1:7088/udp/239.10.0.80:1025
深圳卫视,http://192.168.1.1:7088/udp/239.10.0.52:1025
河南卫视,http://192.168.1.1:7088/udp/239.11.0.94:1025
云南卫视,http://192.168.1.1:7088/udp/239.11.0.171:1025
陕西卫视,http://192.168.1.1:7088/udp/239.10.0.161:1025
山西卫视,http://192.168.1.1:7088/udp/239.10.0.162:1025
内蒙古卫视,http://192.168.1.1:7088/udp/239.10.0.163:1025
青海卫视,http://192.168.1.1:7088/udp/239.11.0.179:1025
海南卫视,http://192.168.1.1:7088/udp/239.11.0.172:1025
宁夏卫视,http://192.168.1.1:7088/udp/239.10.0.166:1025
西藏卫视,http://192.168.1.1:7088/udp/239.10.0.167:1025
新疆卫视,http://192.168.1.1:7088/udp/239.10.0.168:1025
甘肃卫视,http://192.168.1.1:7088/udp/239.11.0.175:1025
兵团卫视,http://192.168.1.1:7088/udp/239.10.0.170:1025
卡酷动画,http://192.168.1.1:7088/udp/239.10.0.172:1025
金鹰卡通,http://192.168.1.1:7088/udp/239.11.0.125:1025
炫动卡通,http://192.168.1.1:7088/udp/239.10.0.174:1025
山东教育,http://192.168.1.1:7088/udp/239.10.0.176:1025
财富天下,http://192.168.1.1:7088/udp/239.10.0.177:1025
厦门卫视,http://192.168.1.1:7088/udp/239.10.0.178:1025
三沙卫视,http://192.168.1.1:7088/udp/239.11.0.177:1025
VSPN电竞,http://192.168.1.1:7088/udp/239.10.0.84:1025
吉林延边卫视,http://192.168.1.1:7088/udp/239.10.0.140:1025
CETV-2,http://192.168.1.1:7088/udp/239.11.0.35:1025
CETV-4,http://192.168.1.1:7088/udp/239.11.0.176:1025
广东卫视高清,http://192.168.1.1:7088/udp/239.10.0.45:1025
经济科教高清,http://192.168.1.1:7088/udp/239.10.0.46:1025
广东体育高清,http://192.168.1.1:7088/udp/239.10.0.47:1025
广东珠江高清,http://192.168.1.1:7088/udp/239.10.0.63:1025
大湾区卫视高清,http://192.168.1.1:7088/udp/239.11.0.78:1025
广东影视高清,http://192.168.1.1:7088/udp/239.11.0.79:1025
广东民生高清,http://192.168.1.1:7088/udp/239.11.0.80:1025
广东少儿高清,http://192.168.1.1:7088/udp/239.11.0.81:1025
广东新闻高清,http://192.168.1.1:7088/udp/239.10.0.199:1025
嘉佳卡通高清,http://192.168.1.1:7088/udp/239.10.0.200:1025
岭南戏曲高清,http://192.168.1.1:7088/udp/239.11.0.180:1025
现代教育高清,http://192.168.1.1:7088/udp/239.11.0.181:1025
CCTV5+体育高清,http://192.168.1.1:7088/udp/239.10.0.213:1025
CCTV-2高清,http://192.168.1.1:7088/udp/239.10.0.207:1025
CCTV-3高清,http://192.168.1.1:7088/udp/239.10.0.101:1025
CCTV-4高清,http://192.168.1.1:7088/udp/239.10.0.245:1025
CCTV-5高清,http://192.168.1.1:7088/udp/239.10.0.102:1025
CCTV-6高清,http://192.168.1.1:7088/udp/239.10.0.103:1025
CCTV-7国防军事高清,http://192.168.1.1:7088/udp/239.10.0.208:1025
CCTV-8高清,http://192.168.1.1:7088/udp/239.10.0.104:1025
CCTV-9高清,http://192.168.1.1:7088/udp/239.10.0.209:1025
CCTV-10高清,http://192.168.1.1:7088/udp/239.10.0.210:1025
CCTV-11高清,http://192.168.1.1:7088/udp/239.11.0.24:1025
CCTV-12高清,http://192.168.1.1:7088/udp/239.10.0.211:1025
CCTV-13高清,http://192.168.1.1:7088/udp/239.10.0.198:1025
CCTV-14少儿高清,http://192.168.1.1:7088/udp/239.10.0.212:1025
CCTV-15高清,http://192.168.1.1:7088/udp/239.11.0.25:1025
爱体育高清,http://192.168.1.1:7088/udp/239.10.0.218:1025
CCTV-16高清,http://192.168.1.1:7088/udp/239.11.0.126:1025
CCTV-17农业高清,http://192.168.1.1:7088/udp/239.10.0.244:1025
CCTV4中文国际欧洲高清,http://192.168.1.1:7088/udp/239.11.0.101:1025
CCTV4中文国际美洲高清,http://192.168.1.1:7088/udp/239.11.0.102:1025
CGTN 英语,http://192.168.1.1:7088/udp/239.11.0.103:1025
CGTN 英文记录,http://192.168.1.1:7088/udp/239.11.0.104:1025
CGTN 西班牙语,http://192.168.1.1:7088/udp/239.11.0.105:1025
CGTN 法语,http://192.168.1.1:7088/udp/239.11.0.106:1025
CGTN 阿拉伯语,http://192.168.1.1:7088/udp/239.11.0.107:1025
CGTN 俄语,http://192.168.1.1:7088/udp/239.11.0.108:1025
湖南卫视高清,http://192.168.1.1:7088/udp/239.10.0.49:1025
浙江卫视高清,http://192.168.1.1:7088/udp/239.10.0.50:1025
江苏卫视高清,http://192.168.1.1:7088/udp/239.10.0.51:1025
北京卫视高清,http://192.168.1.1:7088/udp/239.10.0.131:1025
深圳卫视高清,http://192.168.1.1:7088/udp/239.10.0.52:1025
黑龙江卫视高清,http://192.168.1.1:7088/udp/239.10.0.53:1025
湖北卫视高清,http://192.168.1.1:7088/udp/239.10.0.54:1025
天津卫视高清,http://192.168.1.1:7088/udp/239.10.0.55:1025
山东卫视高清,http://192.168.1.1:7088/udp/239.10.0.56:1025
东方卫视高清,http://192.168.1.1:7088/udp/239.10.0.183:1025
辽宁卫视高清,http://192.168.1.1:7088/udp/239.10.0.58:1025
四川卫视高清,http://192.168.1.1:7088/udp/239.10.0.60:1025
金鹰纪实高清,http://192.168.1.1:7088/udp/239.10.0.59:1025
重庆卫视高清,http://192.168.1.1:7088/udp/239.10.0.205:1025
安徽卫视高清,http://192.168.1.1:7088/udp/239.10.0.203:1025
贵州卫视高清,http://192.168.1.1:7088/udp/239.10.0.222:1025
中国教育-1高清,http://192.168.1.1:7088/udp/239.10.0.223:1025
中国交通,http://192.168.1.1:7088/udp/239.10.0.72:1025
福建东南卫视高清,http://192.168.1.1:7088/udp/239.10.0.77:1025
上海纪实高清,http://192.168.1.1:7088/udp/239.10.0.78:1025
河北卫视高清,http://192.168.1.1:7088/udp/239.10.0.79:1025
江西卫视高清,http://192.168.1.1:7088/udp/239.10.0.80:1025
吉林卫视高清,http://192.168.1.1:7088/udp/239.10.0.81:1025
广西卫视高清,http://192.168.1.1:7088/udp/239.10.0.246:1025
甘肃卫视高清,http://192.168.1.1:7088/udp/239.11.0.175:1025
河南卫视高清,http://192.168.1.1:7088/udp/239.11.0.94:1025
云南卫视高清,http://192.168.1.1:7088/udp/239.11.0.171:1025
海南卫视高清,http://192.168.1.1:7088/udp/239.11.0.172:1025
金鹰卡通高清,http://192.168.1.1:7088/udp/239.11.0.125:1025
CETV-4高清,http://192.168.1.1:7088/udp/239.11.0.176:1025
三沙卫视高清,http://192.168.1.1:7088/udp/239.11.0.177:1025
青海卫视高清,http://192.168.1.1:7088/udp/239.11.0.179:1025
广东卫视超清,http://192.168.1.1:7088/udp/239.10.0.45:1025
经济科教超清,http://192.168.1.1:7088/udp/239.10.0.46:1025
